code project,Length(km),Type of road,constructed road Type,Number Line,width road(m),slope land%,Cost Estimation(milion_rials)
1,5,No way,Freeway,2,12.8,33-70 %,4027500
1,5,No way,Freeway,2,12.8,33-70 %,4027500
1,5,No way,Freeway,2,12.8,33-70 %,4027500
1,5,No way,Freeway,2,12.8,33-70 %,4027500
1,5,No way,Freeway,2,12.8,33-70 %,4027500
1,5,No way,Freeway,2,12.8,33-70 %,4027500
1,5,No way,Freeway,2,12.8,33-70 %,4027500
1,5,No way,Freeway,2,12.8,33-70 %,4027500
1,5,No way,Freeway,2,12.8,33-70 %,4027500
1,5,No way,Freeway,2,12.8,33-70 %,4027500
1,5,No way,Freeway,2,12.8,33-70 %,4027500
1,5,No way,Freeway,2,12.8,33-70 %,4027500
1,5,No way,Freeway,2,12.8,33-70 %,4027500
1,5,No way,Freeway,2,12.8,33-70 %,4027500
1,5,No way,Freeway,2,12.8,33-70 %,4027500
1,5,No way,Freeway,2,12.8,33-70 %,4027500
1,5,No way,Freeway,2,12.8,33-70 %,4027500
1,5,No way,Freeway,2,12.8,33-70 %,4027500
1,5,No way,Freeway,2,12.8,33-70 %,4027500
1,5,No way,Freeway,2,12.8,33-70 %,4027500
1,5,No way,Freeway,2,12.8,33-70 %,4027500
21,5,No way,Freeway,3,17.15,33-70 %,5351250
21,5,No way,Freeway,3,17.15,33-70 %,5351250
21,5,No way,Freeway,3,17.15,33-70 %,5351250
21,5,No way,Freeway,3,17.15,33-70 %,5351250
21,5,No way,Freeway,3,17.15,33-70 %,5351250
24,5,No way,Freeway,3,17.15,33-70 %,5351250
24,5,No way,Freeway,3,17.15,33-70 %,5351250
24,5,No way,Freeway,3,17.15,33-70 %,5351250
24,5,No way,Freeway,3,17.15,33-70 %,5351250
24,5,No way,Freeway,3,17.15,33-70 %,5351250
24,5,No way,Freeway,3,17.15,70-110 %,8726250
143,5,No way,Mainroad ,1,6.25,33-70 %,750000
143,5,No way,Mainroad ,1,6.25,33-70 %,750000
144,5,No way,Highway ,2,12.8,33-70 %,4027500
144,5,No way,Highway ,2,12.8,33-70 %,4027500
144,5,No way,Highway ,2,12.8,33-70 %,4027500
145,0.993973506,No way,Freeway,2,12.8,33-70 %,800645.6591
145,5,No way,Freeway,2,12.8,33-70 %,4027500
147,5,No way,Mainroad ,2,12.5,33-70 %,1500000
147,5,No way,Mainroad ,2,12.5,33-70 %,1500000
147,5,No way,Mainroad ,2,12.5,33-70 %,1500000
159,5,No way,Mainroad ,1,6.25,33-70 %,750000
159,5,No way,Mainroad ,1,6.25,33-70 %,750000
159,5,No way,Mainroad ,1,6.25,33-70 %,750000
159,5,No way,Mainroad ,1,6.25,33-70 %,750000
165,5,No way,Mainroad ,2,12.5,70-110 %,3000000
175,5,No way,Mainroad ,2,12.5,33-70 %,1500000
175,5,No way,Mainroad ,2,12.5,33-70 %,1500000
203,5,No way,Highway ,2,12.8,33-70 %,4027500
203,5,No way,Highway ,2,12.8,33-70 %,4027500
311,5,No way,Mainroad ,2,12.5,33-70 %,1500000
311,5,No way,Mainroad ,2,12.5,33-70 %,1500000
328,5,No way,Freeway,2,12.8,33-70 %,4027500
328,5,No way,Freeway,2,12.8,33-70 %,4027500
328,5,No way,Freeway,2,12.8,33-70 %,4027500
328,5,No way,Freeway,2,12.8,33-70 %,4027500
328,5,No way,Freeway,2,12.8,33-70 %,4027500
328,5,No way,Freeway,2,12.8,33-70 %,4027500
328,5,No way,Freeway,2,12.8,33-70 %,4027500
328,4.38388732,No way,Freeway,2,12.8,33-70 %,3531221.236
328,5,No way,Freeway,2,12.8,33-70 %,4027500
328,5,No way,Freeway,2,12.8,33-70 %,4027500
328,5,No way,Freeway,2,12.8,33-70 %,4027500
328,1.987203398,No way,Freeway,2,12.8,33-70 %,1600692.337
328,5,No way,Freeway,2,12.8,33-70 %,4027500
328,5,No way,Freeway,2,12.8,70-110 %,6390000
328,5,No way,Freeway,2,12.8,70-110 %,6390000
328,5,No way,Freeway,2,12.8,70-110 %,6390000
330,1.075170388,No way,Freeway,3,17.15,33-70 %,1150701.107
330,1.557721696,No way,Freeway,3,17.15,33-70 %,1667151.645
330,1.557721696,No way,Freeway,3,17.15,33-70 %,1667151.645
330,2.421752607,No way,Freeway,3,17.15,33-70 %,2591880.727
330,5,No way,Freeway,3,17.15,33-70 %,5351250
330,5,No way,Freeway,3,17.15,33-70 %,5351250
330,5,No way,Freeway,3,17.15,33-70 %,5351250
330,5,No way,Freeway,3,17.15,33-70 %,5351250
330,5,No way,Freeway,3,17.15,33-70 %,5351250
330,5,No way,Freeway,3,17.15,33-70 %,5351250
330,5,No way,Freeway,3,17.15,33-70 %,5351250
330,5,No way,Freeway,3,17.15,33-70 %,5351250
330,5,No way,Freeway,3,17.15,33-70 %,5351250
330,5,No way,Freeway,3,17.15,33-70 %,5351250
330,5,No way,Freeway,3,17.15,70-110 %,8726250
330,5,No way,Freeway,3,17.15,70-110 %,8726250
330,5,No way,Freeway,3,17.15,70-110 %,8726250
330,5,No way,Freeway,3,17.15,70-110 %,8726250
333,4.288176547,No way,Freeway,2,12.8,33-70 %,3454126.208
333,5,No way,Freeway,2,12.8,33-70 %,4027500
333,5,No way,Freeway,2,12.8,33-70 %,4027500
333,5,No way,Freeway,2,12.8,33-70 %,4027500
333,5,No way,Freeway,2,12.8,33-70 %,4027500
333,5,No way,Freeway,2,12.8,33-70 %,4027500
333,5,No way,Freeway,2,12.8,33-70 %,4027500
339,4.697963569,No way,Freeway,2,12.8,33-70 %,3784209.655
339,5,No way,Freeway,2,12.8,33-70 %,4027500
339,5,No way,Freeway,2,12.8,33-70 %,4027500
339,5,No way,Freeway,2,12.8,33-70 %,4027500
339,5,No way,Freeway,2,12.8,33-70 %,4027500
339,5,No way,Freeway,2,12.8,33-70 %,4027500
342,5,No way,Freeway,2,12.8,33-70 %,4027500
342,5,No way,Freeway,2,12.8,33-70 %,4027500
342,5,No way,Freeway,2,12.8,33-70 %,4027500
342,5,No way,Freeway,2,12.8,33-70 %,4027500
342,5,No way,Freeway,2,12.8,33-70 %,4027500
342,3.656741345,No way,Freeway,2,12.8,33-70 %,2945505.153
342,5,No way,Freeway,2,12.8,33-70 %,4027500
342,5,No way,Freeway,2,12.8,33-70 %,4027500
342,5,No way,Freeway,2,12.8,33-70 %,4027500
342,5,No way,Freeway,2,12.8,33-70 %,4027500
342,5,No way,Freeway,2,12.8,33-70 %,4027500
342,5,No way,Freeway,2,12.8,33-70 %,4027500
342,5,No way,Freeway,2,12.8,33-70 %,4027500
342,5,No way,Freeway,2,12.8,33-70 %,4027500
342,5,No way,Freeway,2,12.8,70-110 %,6390000
